target_ip,target_geo_country,Time Run,Processed?
13.227.254.94,SG,2023-03-06 20:45:05.057443,Not Processed due to DUPLICATE in past 7 days
13.227.254.99,SG,2023-03-06 20:45:05.060468,Not Processed due to DUPLICATE in past 7 days
23.200.24.43,SG,2023-03-06 20:45:05.063459,Not Processed due to DUPLICATE in past 7 days
17.248.164.108,SG,2023-03-06 20:45:05.065455,Not Processed due to DUPLICATE in past 7 days
13.33.100.61,SG,2023-03-06 20:45:05.067453,Not Processed due to DUPLICATE in past 7 days
52.76.228.161,SG,2023-03-06 20:45:05.070442,Not Processed due to DUPLICATE in past 7 days
173.194.22.169,SG,2023-03-06 20:45:05.073433,Not Processed due to DUPLICATE in past 7 days
18.142.201.37,SG,2023-03-06 20:45:05.075428,Not Processed due to DUPLICATE in past 7 days
192.166.246.143,SG,2023-03-06 20:45:05.078388,Not Processed due to DUPLICATE in past 7 days
203.116.175.163,SG,2023-03-06 20:45:05.082174,Not Processed due to DUPLICATE in past 7 days
13.228.90.32,SG,2023-03-06 20:45:05.084371,Not Processed due to DUPLICATE in past 7 days
52.76.40.178,SG,2023-03-06 20:45:05.087363,Not Processed due to DUPLICATE in past 7 days
121.7.89.176,SG,2023-03-06 20:45:05.090388,Not Processed due to DUPLICATE in past 7 days
31.13.68.1,SG,2023-03-06 20:45:05.092382,Not Processed due to DUPLICATE in past 7 days
13.33.88.116,SG,2023-03-06 20:45:05.095387,Not Processed due to DUPLICATE in past 7 days
3.1.152.102,SG,2023-03-06 20:45:05.097392,Not Processed due to DUPLICATE in past 7 days
23.49.60.129,SG,2023-03-06 20:45:05.099367,Not Processed due to DUPLICATE in past 7 days
96.16.116.196,SG,2023-03-06 20:45:05.102355,Not Processed due to DUPLICATE in past 7 days
101.32.104.177,SG,2023-03-06 20:45:05.104348,Not Processed due to DUPLICATE in past 7 days
17.248.154.11,SG,2023-03-06 20:45:05.107349,Not Processed due to DUPLICATE in past 7 days
54.192.150.89,SG,2023-03-06 20:45:05.109406,Not Processed due to DUPLICATE in past 7 days
