,domain,blocklist_addition_date
140,s-line.world,10/3/2023 14:51
141,sajt-v9oh-s.web.app,10/3/2023 14:51
142,sb1-mn1-h6.web.app,10/3/2023 14:51
143,sjcy-5bcq-e.web.app,10/3/2023 14:51
144,sleekdigital.pro,10/3/2023 14:51
145,sofl-v1bv-o.web.app,10/3/2023 14:51
146,sqmr4tkhz.web.app,10/3/2023 14:51
147,usddhub.com,10/3/2023 14:51
148,linkhtom.top,10/3/2023 14:51
149,bitfinexsz.xyz,10/3/2023 14:51
150,global-nftcoin.com,10/3/2023 14:51
151,paye.life,10/3/2023 14:51
152,flight-tl.com,10/3/2023 15:51
153,maiosete.com,10/3/2023 15:51
154,infinite196.com,10/3/2023 22:00
155,cashspilltrading.com,11/3/2023 9:01
156,grab123456.com,11/3/2023 9:01
157,mypackage-express-dhl.com,11/3/2023 9:01
158,segoventure.vip,11/3/2023 9:01
159,segoventureapp.vip,11/3/2023 9:01
160,shopeeth.top,11/3/2023 9:01
161,dominossg.com,11/3/2023 12:46
162,nordstrom-elevate.com,11/3/2023 12:46
163,nordstrom-evolve.com,11/3/2023 12:46
164,perfomatixsolutionspteltd-apk.com,11/3/2023 12:46
165,perfomatixsolutionspteltd-app.com,11/3/2023 12:46
166,perfomatixsolutionspteltd-audit.com,11/3/2023 12:46
167,perfomatixsolutionspteltd-boost.com,11/3/2023 12:46
168,perfomatixsolutionspteltd-drive.com,11/3/2023 12:46
169,perfomatixsolutionspteltd-revue.com,11/3/2023 12:46
170,perfomatixsolutionspteltd-scale.com,11/3/2023 12:46
171,perfomatixsolutionspteltd-senna.com,11/3/2023 12:46
172,perfomatixsolutionspteltd.com,11/3/2023 12:46
173,sgp-sharptechcompany.com,11/3/2023 12:46
174,gwsad.xyz,11/3/2023 13:47
175,c180globalcourier.com,11/3/2023 17:28
176,dkdn64.com,11/3/2023 17:28
177,hctg-s4zt-j.web.app,11/3/2023 17:28
178,heog-el2r-x.web.app,11/3/2023 17:28
179,hwd3yavbu.web.app,11/3/2023 17:28
180,ez-link.20-121-49-135.cprapid.com,11/3/2023 17:28
181,sa1bl7xdzj.web.app,11/3/2023 17:28
182,scqj-ao3h-b.web.app,11/3/2023 17:28
183,ses1iab2ws.web.app,11/3/2023 17:28
184,sjoq2ramu.web.app,11/3/2023 17:28
185,sjqf-g5vb-f.web.app,11/3/2023 17:28
186,so1clb0nmy.web.app,11/3/2023 17:28
187,sx1yw6zxjx.web.app,11/3/2023 17:28
188,szo1okc3eo.web.app,11/3/2023 17:28
189,wordpress-959321-3347673.cloudwaysapps.com,11/3/2023 17:28
190,hjcg-hx3k-u.web.app,11/3/2023 21:33
191,saa1rjxhe.web.app,11/3/2023 21:33
192,sdcw-ffa0c.web.app,11/3/2023 21:33
193,sqg5kuhsk.web.app,11/3/2023 21:33
194,stvh-qyo2-i.web.app,11/3/2023 21:33
195,taobao502.com,11/3/2023 21:33
196,ebayplus.info,12/3/2023 7:54
197,dbs-ibannking-web.com,12/3/2023 7:54
198,paynow-point-carousell.firebaseapp.com,12/3/2023 7:54
199,nydjsingapore.com,12/3/2023 12:01
200,dbspaymentlah.top,12/3/2023 16:44
201,heex2cbce.web.app,12/3/2023 16:44
202,hle-tom3-m.web.app,12/3/2023 16:44
203,hng4yysio.web.app,12/3/2023 16:44
204,hsty3bspp.web.app,12/3/2023 16:44
205,ikjasye.vip,12/3/2023 16:44
206,indle.vip,12/3/2023 16:44
207,kjhhnx.vip,12/3/2023 16:44
208,liop-e29c4.web.app,12/3/2023 16:44
209,mikl-d1efb.web.app,12/3/2023 16:44
210,sgx1oyira.web.app,12/3/2023 16:44
211,sigiz4jim.web.app,12/3/2023 16:44
212,srqh-ha3n-q.web.app,12/3/2023 16:44
213,srw3vcrga.web.app,12/3/2023 16:44
214,sv2ubvxga.web.app,12/3/2023 16:44
215,svw6wuvkw.web.app,12/3/2023 16:44
216,szm7ectua.web.app,12/3/2023 16:44
217,sznj-t8gr-b.web.app,12/3/2023 16:44
218,mysingpa.site,12/3/2023 18:01
219,paymentlah.life,12/3/2023 19:54
220,promotion-justfly.com,12/3/2023 19:54
221,tiktokmyshop.store,12/3/2023 19:54
222,tiktoknsmstore.shop,12/3/2023 19:54
223,tiktokurmall.shop,12/3/2023 19:54
224,wishsmall.shop,12/3/2023 19:54
225,lenzcapital.pro,12/3/2023 21:54
226,makeruuex.com,12/3/2023 21:54
227,fkoee.com,12/3/2023 21:54
228,kjdn66.com,12/3/2023 21:54
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
