domain_test_col2,last_analysis_date,total_votes,processed_timestamp,vt_file_location,last_analysis_stats,domain,source,failure_count,duration_log,to_skip,domain_test_col1,log_file,archived_page_info,has_html,dns_info,has_screenshot,_id,cert_info,has_javascript,added_timestamp,whois_info,is_priority,x_days_ago,reputation
2,,"{'harmless': 0, 'malicious': 0}",2023-06-20 11:16:12.857000,resources/downloaded_vtresponse/20062023/azttcall.com.json,"{'harmless': 0, 'malicious': 0, 'suspicious': 0, 'undetected': 87, 'timeout': 0}",azttcall.com,resources/upload_folder/domain_test1_20230620_102319.908.csv,0,"{'vt_call': 1.37213780003367, 'screenshot': 14.913676400028635, 'grab_html_js': 0.10270970000419766, 'get_whois_info': 0.8992795000085607, 'get_dns_info': 0.030447900004219264, 'get_cert_info': 2.4566869999980554, 'get_archived_page_info': 0.7482259999960661}",,1,resources/logs/logfile_20230620_111552.185.txt,"{'newest.archive_url': 'https://web.archive.org/web/20211126202101/http://azttcall.com/', 'newest.timestamp': '26-11-2021T20:21:01', 'archived_paged_file_location': 'resources/archived_page/azttcall.com_20230620_111612.117.json'}",0,"{'gethostbyname_ex': None, 'dns_resolver_query': None}",0,64917e17fb65bdd51d9a6ec8,"{'common_name': 'azttcall.com', 'name_value': 'azttcall.com', 'issuer_name': ""C=US, O=Let's Encrypt, CN=R3"", 'not_before': '2023-03-08T05:08:50', 'latest_cert': '2023-03-08T00:42:44', 'length_cert_json': 6, 'cert_file_location': 'resources/cert/azttcall.com_20230620_111609.655.json', 'len(SubjectCN_set)': 1, 'SubjectCN_set': ['azttcall.com'], 'len(Issuer_set)': 1, 'Issuer_set': [""C=US, O=Let's Encrypt, CN=R3""], 'len(AltName_set)': 1, 'AltName_count_min': 1, 'AltName_count_max': 1}",0,2023-06-20 10:23:19.908000,"{'registrar': 'Gname.com Pte. Ltd.', 'name': 'Redacted for privacy', 'org': 'Redacted for privacy', 'creation_date': datetime.datetime(2017, 8, 22, 18, 44, 35), 'updated_date': [datetime.datetime(2023, 3, 9, 7, 59, 53), datetime.datetime(2023, 3, 9, 7, 59, 54)], 'whois_file_location': 'resources/whois/azttcall.com_20230620_111608.703.txt'}",0,7,0
2,,,,,,azttcall.com,resources/upload_folder/domain_test1_20230620_141538.078.csv,0,,,1,,,,,,6491b48a37d12e244beb0443,,,2023-06-20 14:15:38.078000,,0,7,
