target_ip,target_geo_country,Time Run,Processed?
89.187.163.193,SG,2023-02-28 21:11:05.406292,Not Processed due to DUPLICATE in past 7 days
52.220.33.166,SG,2023-02-28 21:11:05.410386,Not Processed due to DUPLICATE in past 7 days
54.251.192.147,SG,2023-02-28 21:11:05.413298,Not Processed due to DUPLICATE in past 7 days
23.54.56.156,SG,2023-02-28 21:11:05.417448,Not Processed due to DUPLICATE in past 7 days
3.1.149.134,SG,2023-02-28 21:11:05.421252,Not Processed due to DUPLICATE in past 7 days
104.83.197.140,SG,2023-02-28 21:11:05.424267,Not Processed due to DUPLICATE in past 7 days
23.73.13.201,SG,2023-02-28 21:11:05.428233,Not Processed due to DUPLICATE in past 7 days
167.71.195.165,SG,2023-02-28 21:11:05.432229,Not Processed due to DUPLICATE in past 7 days
23.59.80.224,SG,2023-02-28 21:11:05.437491,Not Processed due to DUPLICATE in past 7 days
52.74.88.135,SG,2023-02-28 21:11:05.440199,Not Processed due to DUPLICATE in past 7 days
129.227.82.185,SG,2023-02-28 21:11:05.443965,Not Processed due to DUPLICATE in past 7 days
89.187.162.21,SG,2023-02-28 21:11:05.446226,Not Processed due to DUPLICATE in past 7 days
51.79.130.26,SG,2023-02-28 21:11:05.449181,Not Processed due to DUPLICATE in past 7 days
17.248.154.3,SG,2023-02-28 21:11:05.452452,Not Processed due to DUPLICATE in past 7 days
43.132.80.244,SG,2023-02-28 21:11:05.455958,Not Processed due to DUPLICATE in past 7 days
17.248.164.12,SG,2023-02-28 21:11:05.458214,Not Processed due to DUPLICATE in past 7 days
54.192.150.36,SG,2023-02-28 21:11:05.460399,Not Processed due to DUPLICATE in past 7 days
165.21.111.145,SG,2023-02-28 21:11:05.462484,Not Processed due to DUPLICATE in past 7 days
20.190.163.29,SG,2023-02-28 21:11:05.464136,Not Processed due to DUPLICATE in past 7 days
23.5.165.18,SG,2023-02-28 21:11:05.468127,Not Processed due to DUPLICATE in past 7 days
3.1.15.205,SG,2023-02-28 21:11:05.471797,Not Processed due to DUPLICATE in past 7 days
17.248.164.82,SG,2023-02-28 21:11:05.473999,Not Processed due to DUPLICATE in past 7 days
101.33.26.124,SG,2023-02-28 21:11:05.475948,Not Processed due to DUPLICATE in past 7 days
103.151.126.72,SG,2023-02-28 21:11:05.477133,Not Processed due to DUPLICATE in past 7 days
103.231.98.195,SG,2023-02-28 21:11:05.480128,Not Processed due to DUPLICATE in past 7 days
13.33.88.101,SG,2023-02-28 21:11:05.482338,Not Processed due to DUPLICATE in past 7 days
18.142.135.199,SG,2023-02-28 21:11:05.484114,Not Processed due to DUPLICATE in past 7 days
150.109.90.54,SG,2023-02-28 21:11:05.486603,Not Processed due to DUPLICATE in past 7 days
116.87.131.164,SG,2023-02-28 21:11:05.488684,Not Processed due to DUPLICATE in past 7 days
52.98.90.178,SG,2023-02-28 21:11:05.490098,Not Processed due to DUPLICATE in past 7 days
17.248.164.47,SG,2023-02-28 21:11:05.492091,Not Processed due to DUPLICATE in past 7 days
116.14.207.20,SG,2023-02-28 21:11:05.495075,Not Processed due to DUPLICATE in past 7 days
184.27.122.48,SG,2023-02-28 21:11:05.499071,Not Processed due to DUPLICATE in past 7 days
52.84.251.24,SG,2023-02-28 21:11:05.502344,Not Processed due to DUPLICATE in past 7 days
17.253.61.220,SG,2023-02-28 21:11:05.504667,Not Processed due to DUPLICATE in past 7 days
101.33.26.140,SG,2023-02-28 21:11:05.506808,Not Processed due to DUPLICATE in past 7 days
13.227.254.35,SG,2023-02-28 21:11:05.508925,Not Processed due to DUPLICATE in past 7 days
31.13.68.34,SG,2023-02-28 21:11:05.511321,Not Processed due to DUPLICATE in past 7 days
103.1.138.196,SG,2023-02-28 21:11:05.513465,Not Processed due to DUPLICATE in past 7 days
13.35.18.228,SG,2023-02-28 21:11:05.515626,Not Processed due to DUPLICATE in past 7 days
117.121.250.156,SG,2023-02-28 21:11:05.517800,Not Processed due to DUPLICATE in past 7 days
40.99.10.66,SG,2023-02-28 21:11:05.519024,Not Processed due to DUPLICATE in past 7 days
54.192.151.123,SG,2023-02-28 21:11:05.522160,Not Processed due to DUPLICATE in past 7 days
20.212.128.44,SG,2023-02-28 21:11:05.524269,Not Processed due to DUPLICATE in past 7 days
52.220.200.42,SG,2023-02-28 21:11:05.527003,Not Processed due to DUPLICATE in past 7 days
54.192.150.58,SG,2023-02-28 21:11:05.529478,Not Processed due to DUPLICATE in past 7 days
3.0.25.35,SG,2023-02-28 21:11:05.531621,Not Processed due to DUPLICATE in past 7 days
13.33.33.53,SG,2023-02-28 21:11:05.532984,Not Processed due to DUPLICATE in past 7 days
13.33.100.30,SG,2023-02-28 21:11:05.535825,Not Processed due to DUPLICATE in past 7 days
23.39.12.48,SG,2023-02-28 21:11:05.537971,Not Processed due to DUPLICATE in past 7 days
203.117.35.17,SG,2023-02-28 21:11:05.540065,Not Processed due to DUPLICATE in past 7 days
40.119.249.228,SG,2023-02-28 21:11:05.541959,Not Processed due to DUPLICATE in past 7 days
72.247.81.153,SG,2023-02-28 21:11:05.544207,Not Processed due to DUPLICATE in past 7 days
23.5.165.11,SG,2023-02-28 21:11:05.546985,Not Processed due to DUPLICATE in past 7 days
23.205.209.121,SG,2023-02-28 21:11:05.549191,Not Processed due to DUPLICATE in past 7 days
20.212.96.199,SG,2023-02-28 21:11:05.551378,Not Processed due to DUPLICATE in past 7 days
165.21.111.147,SG,2023-02-28 21:11:05.553500,Not Processed due to DUPLICATE in past 7 days
74.125.200.139,SG,2023-02-28 21:11:05.557389,Not Processed due to DUPLICATE in past 7 days
54.169.248.42,SG,2023-02-28 21:11:05.560876,Not Processed due to DUPLICATE in past 7 days
192.166.246.41,SG,2023-02-28 21:11:05.564788,Not Processed due to DUPLICATE in past 7 days
203.116.175.128,SG,2023-02-28 21:11:05.566894,Not Processed due to DUPLICATE in past 7 days
23.50.92.154,SG,2023-02-28 21:11:05.569223,Not Processed due to DUPLICATE in past 7 days
74.125.68.154,SG,2023-02-28 21:11:05.571395,Not Processed due to DUPLICATE in past 7 days
18.140.39.47,SG,2023-02-28 21:11:05.573585,Not Processed due to DUPLICATE in past 7 days
23.36.252.78,SG,2023-02-28 21:11:05.575837,Not Processed due to DUPLICATE in past 7 days
150.109.90.59,SG,2023-02-28 21:11:05.579225,Not Processed due to DUPLICATE in past 7 days
172.224.26.138,SG,2023-02-28 21:11:05.582020,Not Processed due to DUPLICATE in past 7 days
13.33.33.41,SG,2023-02-28 21:11:05.584649,Not Processed due to DUPLICATE in past 7 days
84.17.39.169,SG,2023-02-28 21:11:05.587807,Not Processed due to DUPLICATE in past 7 days
51.79.204.59,SG,2023-02-28 21:11:05.591052,Not Processed due to DUPLICATE in past 7 days
138.199.60.185,SG,2023-02-28 21:11:05.594550,Not Processed due to DUPLICATE in past 7 days
203.116.175.170,SG,2023-02-28 21:11:05.596816,Not Processed due to DUPLICATE in past 7 days
54.192.150.67,SG,2023-02-28 21:11:05.600840,Not Processed due to DUPLICATE in past 7 days
157.240.13.1,SG,2023-02-28 21:11:05.603788,Not Processed due to DUPLICATE in past 7 days
58.182.177.133,SG,2023-02-28 21:11:05.606653,Not Processed due to DUPLICATE in past 7 days
52.221.62.54,SG,2023-02-28 21:11:05.609113,Not Processed due to DUPLICATE in past 7 days
23.205.208.247,SG,2023-02-28 21:11:05.610776,Not Processed due to DUPLICATE in past 7 days
104.70.101.66,SG,2023-02-28 21:11:05.612770,Not Processed due to DUPLICATE in past 7 days
54.192.150.77,SG,2023-02-28 21:11:05.615545,Not Processed due to DUPLICATE in past 7 days
161.117.96.24,SG,2023-02-28 21:11:05.617732,Not Processed due to DUPLICATE in past 7 days
18.138.223.207,SG,2023-02-28 21:11:05.619749,Not Processed due to DUPLICATE in past 7 days
13.251.71.45,SG,2023-02-28 21:11:05.621746,Not Processed due to DUPLICATE in past 7 days
204.246.164.112,SG,2023-02-28 21:11:05.624115,Not Processed due to DUPLICATE in past 7 days
185.200.117.142,SG,2023-02-28 21:11:05.626230,Not Processed due to DUPLICATE in past 7 days
52.98.33.130,SG,2023-02-28 21:11:05.627728,Not Processed due to DUPLICATE in past 7 days
23.5.165.146,SG,2023-02-28 21:11:05.630552,Not Processed due to DUPLICATE in past 7 days
52.84.251.50,SG,2023-02-28 21:11:05.632778,Not Processed due to DUPLICATE in past 7 days
52.74.243.124,SG,2023-02-28 21:11:05.634718,Not Processed due to DUPLICATE in past 7 days
121.7.140.29,SG,2023-02-28 21:11:05.637269,Not Processed due to DUPLICATE in past 7 days
43.132.81.247,SG,2023-02-28 21:11:05.638704,Not Processed due to DUPLICATE in past 7 days
104.69.42.77,SG,2023-02-28 21:11:05.641595,Not Processed due to DUPLICATE in past 7 days
17.248.164.17,SG,2023-02-28 21:11:05.643677,Not Processed due to DUPLICATE in past 7 days
17.248.164.10,SG,2023-02-28 21:11:05.645748,Not Processed due to DUPLICATE in past 7 days
54.192.150.37,SG,2023-02-28 21:11:05.647958,Not Processed due to DUPLICATE in past 7 days
54.151.230.219,SG,2023-02-28 21:11:05.649671,Not Processed due to DUPLICATE in past 7 days
157.240.13.174,SG,2023-02-28 21:11:05.652277,Not Processed due to DUPLICATE in past 7 days
13.33.33.38,SG,2023-02-28 21:11:05.653670,Not Processed due to DUPLICATE in past 7 days
161.117.32.237,SG,2023-02-28 21:11:05.655655,Not Processed due to DUPLICATE in past 7 days
13.33.92.224,SG,2023-02-28 21:11:05.658608,Not Processed due to DUPLICATE in past 7 days
45.40.48.215,SG,2023-02-28 21:11:05.660802,Not Processed due to DUPLICATE in past 7 days
13.227.248.101,SG,2023-02-28 21:11:05.662935,Not Processed due to DUPLICATE in past 7 days
157.240.13.14,SG,2023-02-28 21:11:05.664614,Not Processed due to DUPLICATE in past 7 days
23.47.190.131,SG,2023-02-28 21:11:05.667591,Not Processed due to DUPLICATE in past 7 days
161.117.125.44,SG,2023-02-28 21:11:05.669591,Not Processed due to DUPLICATE in past 7 days
184.87.200.27,SG,2023-02-28 21:11:05.672757,Not Processed due to DUPLICATE in past 7 days
172.217.194.97,SG,2023-02-28 21:11:05.674948,Not Processed due to DUPLICATE in past 7 days
23.5.165.66,SG,2023-02-28 21:11:05.677157,Not Processed due to DUPLICATE in past 7 days
20.44.239.154,SG,2023-02-28 21:11:05.679247,Not Processed due to DUPLICATE in past 7 days
13.67.74.235,SG,2023-02-28 21:11:05.681433,Not Processed due to DUPLICATE in past 7 days
18.140.168.176,SG,2023-02-28 21:11:05.683563,Not Processed due to DUPLICATE in past 7 days
3.1.22.50,SG,2023-02-28 21:11:05.685791,Not Processed due to DUPLICATE in past 7 days
13.33.33.70,SG,2023-02-28 21:11:05.687907,Not Processed due to DUPLICATE in past 7 days
203.205.159.17,SG,2023-02-28 21:11:05.689962,Not Processed due to DUPLICATE in past 7 days
104.89.118.22,SG,2023-02-28 21:11:05.692037,Not Processed due to DUPLICATE in past 7 days
52.76.156.186,SG,2023-02-28 21:11:05.694236,Not Processed due to DUPLICATE in past 7 days
52.77.93.191,SG,2023-02-28 21:11:05.696429,Not Processed due to DUPLICATE in past 7 days
17.253.61.216,SG,2023-02-28 21:11:05.698599,Not Processed due to DUPLICATE in past 7 days
157.240.13.48,SG,2023-02-28 21:11:05.700742,Not Processed due to DUPLICATE in past 7 days
139.99.45.37,SG,2023-02-28 21:11:05.702847,Not Processed due to DUPLICATE in past 7 days
23.52.171.137,SG,2023-02-28 21:11:05.704948,Not Processed due to DUPLICATE in past 7 days
17.248.164.44,SG,2023-02-28 21:11:05.706521,Not Processed due to DUPLICATE in past 7 days
150.109.90.118,SG,2023-02-28 21:11:05.709137,Not Processed due to DUPLICATE in past 7 days
203.116.175.122,SG,2023-02-28 21:11:05.710605,Not Processed due to DUPLICATE in past 7 days
17.253.61.215,SG,2023-02-28 21:11:05.713457,Not Processed due to DUPLICATE in past 7 days
172.217.194.132,SG,2023-02-28 21:11:05.715628,Not Processed due to DUPLICATE in past 7 days
52.111.240.11,SG,2023-02-28 21:11:05.717804,Not Processed due to DUPLICATE in past 7 days
51.79.158.73,SG,2023-02-28 21:11:05.719954,Not Processed due to DUPLICATE in past 7 days
184.50.97.221,SG,2023-02-28 21:11:05.722041,Not Processed due to DUPLICATE in past 7 days
116.0.81.227,SG,2023-02-28 21:11:05.724095,Not Processed due to DUPLICATE in past 7 days
13.251.233.244,SG,2023-02-28 21:11:05.726219,Not Processed due to DUPLICATE in past 7 days
52.84.251.86,SG,2023-02-28 21:11:05.728421,Not Processed due to DUPLICATE in past 7 days
101.32.143.30,SG,2023-02-28 21:11:05.730459,Not Processed due to DUPLICATE in past 7 days
184.87.193.72,SG,2023-02-28 21:11:05.732603,Not Processed due to DUPLICATE in past 7 days
13.33.33.108,SG,2023-02-28 21:11:05.734684,Not Processed due to DUPLICATE in past 7 days
74.125.68.153,SG,2023-02-28 21:11:05.736854,Not Processed due to DUPLICATE in past 7 days
156.246.18.131,SG,2023-02-28 21:11:05.738990,Not Processed due to DUPLICATE in past 7 days
18.141.43.183,SG,2023-02-28 21:11:05.740429,Not Processed due to DUPLICATE in past 7 days
104.69.107.45,SG,2023-02-28 21:11:05.743269,Not Processed due to DUPLICATE in past 7 days
184.31.4.207,SG,2023-02-28 21:11:05.745394,Not Processed due to DUPLICATE in past 7 days
17.248.154.5,SG,2023-02-28 21:11:05.747422,Not Processed due to DUPLICATE in past 7 days
17.248.154.22,SG,2023-02-28 21:11:05.749679,Not Processed due to DUPLICATE in past 7 days
116.87.189.216,SG,2023-02-28 21:11:05.751738,Not Processed due to DUPLICATE in past 7 days
17.248.154.39,SG,2023-02-28 21:11:05.753819,Not Processed due to DUPLICATE in past 7 days
17.248.164.102,SG,2023-02-28 21:11:05.755948,Not Processed due to DUPLICATE in past 7 days
17.253.61.203,SG,2023-02-28 21:11:05.757385,Not Processed due to DUPLICATE in past 7 days
103.231.98.196,SG,2023-02-28 21:11:05.760344,Not Processed due to DUPLICATE in past 7 days
124.155.222.26,SG,2023-02-28 21:11:05.762375,Not Processed due to DUPLICATE in past 7 days
13.33.33.51,SG,2023-02-28 21:11:05.765330,Not Processed due to DUPLICATE in past 7 days
54.192.150.13,SG,2023-02-28 21:11:05.768322,Not Processed due to DUPLICATE in past 7 days
13.33.100.132,SG,2023-02-28 21:11:05.771665,Not Processed due to DUPLICATE in past 7 days
91.108.56.173,SG,2023-02-28 21:11:05.774309,Not Processed due to DUPLICATE in past 7 days
52.76.163.242,SG,2023-02-28 21:11:05.778185,Not Processed due to DUPLICATE in past 7 days
180.87.173.16,SG,2023-02-28 21:11:05.780326,Not Processed due to DUPLICATE in past 7 days
103.155.16.178,SG,2023-02-28 21:11:05.782843,Not Processed due to DUPLICATE in past 7 days
103.207.108.98,SG,2023-02-28 21:11:05.784852,Not Processed due to DUPLICATE in past 7 days
157.240.7.16,SG,2023-02-28 21:11:05.786971,Not Processed due to DUPLICATE in past 7 days
169.150.243.3,SG,2023-02-28 21:11:05.789371,Not Processed due to DUPLICATE in past 7 days
52.139.250.209,SG,2023-02-28 21:11:05.792950,Not Processed due to DUPLICATE in past 7 days
13.227.254.102,SG,2023-02-28 21:11:05.795110,Not Processed due to DUPLICATE in past 7 days
157.240.15.63,SG,2023-02-28 21:11:05.797097,Not Processed due to DUPLICATE in past 7 days
46.51.219.70,SG,2023-02-28 21:11:05.799282,Not Processed due to DUPLICATE in past 7 days
106.10.186.200,SG,2023-02-28 21:11:05.801986,Not Processed due to DUPLICATE in past 7 days
159.138.91.5,SG,2023-02-28 21:11:05.804731,Not Processed due to DUPLICATE in past 7 days
119.74.176.84,SG,2023-02-28 21:11:05.806915,Not Processed due to DUPLICATE in past 7 days
13.33.33.6,SG,2023-02-28 21:11:05.808995,Not Processed due to DUPLICATE in past 7 days
144.126.242.176,SG,2023-02-28 21:11:05.811084,Not Processed due to DUPLICATE in past 7 days
104.69.96.220,SG,2023-02-28 21:11:05.813185,Not Processed due to DUPLICATE in past 7 days
23.195.121.150,SG,2023-02-28 21:11:05.815333,Not Processed due to DUPLICATE in past 7 days
157.240.7.6,SG,2023-02-28 21:11:05.817359,Not Processed due to DUPLICATE in past 7 days
13.215.82.183,SG,2023-02-28 21:11:05.819805,Not Processed due to DUPLICATE in past 7 days
143.244.33.161,SG,2023-02-28 21:11:05.821895,Not Processed due to DUPLICATE in past 7 days
18.136.42.214,SG,2023-02-28 21:11:05.824073,Not Processed due to DUPLICATE in past 7 days
46.137.229.114,SG,2023-02-28 21:11:05.826296,Not Processed due to DUPLICATE in past 7 days
125.56.199.43,SG,2023-02-28 21:11:05.828283,Not Processed due to DUPLICATE in past 7 days
23.210.250.82,SG,2023-02-28 21:11:05.830402,Not Processed due to DUPLICATE in past 7 days
184.31.4.201,SG,2023-02-28 21:11:05.832187,Not Processed due to DUPLICATE in past 7 days
52.221.15.231,SG,2023-02-28 21:11:05.834746,Not Processed due to DUPLICATE in past 7 days
125.56.199.9,SG,2023-02-28 21:11:05.836961,Not Processed due to DUPLICATE in past 7 days
13.33.33.60,SG,2023-02-28 21:11:05.838171,Not Processed due to DUPLICATE in past 7 days
23.47.190.123,SG,2023-02-28 21:11:05.841160,Not Processed due to DUPLICATE in past 7 days
203.116.175.115,SG,2023-02-28 21:11:05.843356,Not Processed due to DUPLICATE in past 7 days
17.248.164.198,SG,2023-02-28 21:11:05.845149,Not Processed due to DUPLICATE in past 7 days
194.233.94.209,SG,2023-02-28 21:11:05.847553,Not Processed due to DUPLICATE in past 7 days
52.98.65.2,SG,2023-02-28 21:11:05.849875,Not Processed due to DUPLICATE in past 7 days
52.84.251.97,SG,2023-02-28 21:11:05.852106,Not Processed due to DUPLICATE in past 7 days
52.84.251.74,SG,2023-02-28 21:11:05.854306,Not Processed due to DUPLICATE in past 7 days
43.132.80.22,SG,2023-02-28 21:11:05.856391,Not Processed due to DUPLICATE in past 7 days
23.15.98.69,SG,2023-02-28 21:11:05.858488,Not Processed due to DUPLICATE in past 7 days
54.255.26.7,SG,2023-02-28 21:11:05.860701,Not Processed due to DUPLICATE in past 7 days
13.33.100.129,SG,2023-02-28 21:11:05.862841,Not Processed due to DUPLICATE in past 7 days
13.33.79.144,SG,2023-02-28 21:11:05.865065,Not Processed due to DUPLICATE in past 7 days
89.187.163.131,SG,2023-02-28 21:11:05.868157,Not Processed due to DUPLICATE in past 7 days
52.84.251.60,SG,2023-02-28 21:11:05.870954,Not Processed due to DUPLICATE in past 7 days
157.240.7.20,SG,2023-02-28 21:11:05.873107,Not Processed due to DUPLICATE in past 7 days
13.33.33.118,SG,2023-02-28 21:11:05.875125,Not Processed due to DUPLICATE in past 7 days
52.77.158.91,SG,2023-02-28 21:11:05.877236,Not Processed due to DUPLICATE in past 7 days
125.252.229.70,SG,2023-02-28 21:11:05.879275,Not Processed due to DUPLICATE in past 7 days
23.36.252.240,SG,2023-02-28 21:11:05.881503,Not Processed due to DUPLICATE in past 7 days
52.84.251.64,SG,2023-02-28 21:11:05.883677,Not Processed due to DUPLICATE in past 7 days
